simulation_id,timestamp,source_node_id,destination_node_id,rssi,packet_loss,latency,throughput,link_quality,node_distance,mobility_speed,link_active
34,2,2,6,1.773758135398823,0.9822624186460118,68.63247142136373,0.031462179228934996,0.01773758135398823,290.387009781263,8.01495558673124,true
34,2,3,4,23.10488968184555,0.7689511031815446,51.60744152864199,5.338359272102528,0.23104889681845547,163.19772739129527,7.401116073765446,true
34,2,6,9,39.810634887635224,0.6018936511236478,38.37658848122817,15.848866501565988,0.3981063488763522,65.63811850091562,4.466288667405243,true
34,3,6,9,40.11344041205248,0.5988655958794751,38.14023341500841,16.090881016912856,0.40113440412052487,63.939072420693016,4.466288667405243,true
34,3,2,5,29.376836894401542,0.7062316310559846,46.61654840919002,8.629985459202715,0.2937683689440154,126.09933712781569,8.842578771372597,true
34,3,1,5,9.244386776557212,0.9075561322344279,62.665280978612145,0.8545868687458584,0.09244386776557212,245.7494873378149,6.885534069805626,true
34,3,2,6,2.3322588340981554,0.9766774116590184,68.18626759773937,0.05439431269228887,0.023322588340981554,287.0479402957692,8.01495558673124,true
34,3,3,4,22.240436824345185,0.7775956317565482,52.296235444276526,4.946370301376891,0.22240436824345183,168.32907712898236,7.401116073765446,true
34,3,4,5,1.5709678222522838,0.9842903217774772,68.79449035731224,0.024679398985520747,0.015709678222522838,291.5994853687674,7.787550415281126,true
34,4,4,5,1.0718186177447464,0.9892818138225525,69.19329209675558,0.011487951493442589,0.010718186177447464,294.5840281125591,7.787550415281126,true
34,4,4,10,0.5573080781229811,0.9944269192187702,69.60437776589649,0.003105922939411277,0.005573080781229811,297.66063609915943,5.06664745080821,true
34,4,6,9,39.66358391378853,0.6033641608621148,38.49146961460903,15.73199888886144,0.39663583913788525,66.46523143006581,4.466288667405243,true
34,4,1,5,8.769865109835306,0.9123013489016469,63.0442082038504,0.7691053404470664,0.08769865109835306,248.58281517536108,6.885534069805626,true
34,4,2,5,30.60124433169896,0.6939875566830104,45.64411428813165,9.364361546483378,0.3060124433169896,118.8947290796226,8.842578771372597,true
34,4,2,6,2.9217270686615784,0.9707827293133842,67.7153379694764,0.08536489063749796,0.02921727068661578,283.5240300761438,8.01495558673124,true
34,4,3,4,20.70565643996255,0.7929434356003745,53.51953331140446,4.287242086097626,0.2070565643996255,177.44723062771462,7.401116073765446,true
34,4,3,7,1.7948553443852988,0.982051446556147,68.61561594790419,0.032215057072684794,0.017948553443852988,290.26087240193687,8.004190895004067,true
34,5,3,4,21.956651082367358,0.7804334891763265,52.522391080737265,4.820945267528235,0.21956651082367357,170.01433243841882,7.401116073765446,true
34,5,1,5,8.15880097884904,0.9184119902115095,63.53219346520636,0.6656603341246811,0.0815880097884904,252.23187909261767,6.885534069805626,true
34,5,2,5,30.20934330467604,0.6979065669532396,45.955275998789084,9.12604422899775,0.3020934330467604,121.19895302254209,8.842578771372597,true
34,5,2,6,2.9904491348672124,0.9700955086513279,67.6604365453962,0.08942786028228059,0.029904491348672124,283.11322225659615,8.01495558673124,true
34,5,3,7,0.6389306708558529,0.9936106932914415,69.53916190587779,0.004082324021603102,0.006389306708558529,297.17254482611423,8.004190895004067,true
34,5,4,5,2.1124207767243277,0.9788757922327567,68.36190151789259,0.044623215379366234,0.021124207767243275,288.36223812509496,7.787550415281126,true
34,5,6,9,39.89015065122179,0.6010984934877821,38.31449499899616,15.9122411897717,0.3989015065122179,65.1914064921411,4.466288667405243,true
34,6,3,4,20.257883627563487,0.7974211637243651,53.87651607708935,4.103818490679048,0.2025788362756349,180.10915781742182,7.401116073765446,true
34,6,2,6,4.858900969472063,0.9514109903052794,66.16783520738628,0.23608918631136527,0.04858900969472063,271.94571384244597,8.01495558673124,true
34,6,6,9,40.1890760281279,0.598109239718721,38.081241144650015,16.151618319946447,0.401890760281279,63.51558317427928,4.466288667405243,true
34,6,4,5,4.509861049797658,0.9549013895020234,66.44665034421195,0.2033884668848204,0.04509861049797659,274.03161738221564,7.787550415281126,true
34,6,2,5,28.41525569187177,0.7158474430812822,47.38077443871197,8.074267560344513,0.2841525569187177,131.76804569295706,8.842578771372597,true
34,6,3,7,1.6837559773308475,0.9831624402266915,68.70437825686689,0.028350341911973574,0.016837559773308475,290.92512491064616,8.004190895004067,true
