simulation_id,timestamp,node_id,cpu,memory,battery,rssi,packet_loss,latency,throughput,queue_size,traffic_load,link_quality,mobility_speed
35,7,7,4.022324,5.847144,100.000000,31.792098,0.682079,44.699177,0.000000,0,0.000000,0.317921,8.286927
35,7,8,2.941215,3.593733,100.000000,14.931454,0.850685,58.125380,2.000000,2,848.000000,0.149315,9.902659
35,7,9,0.000000,3.987285,100.000000,17.292972,0.827070,56.241097,0.000000,0,0.000000,0.172930,1.194532
35,7,10,2.510106,7.496202,100.000000,13.032320,0.869677,59.641065,0.000000,0,0.000000,0.130323,3.679274
35,8,1,4.416419,1.019748,100.000000,23.577955,0.764220,51.230578,1.000000,1,1242.000000,0.235780,1.760948
35,8,2,7.773562,0.000000,100.000000,15.149316,0.848507,57.951706,0.000000,2,1061.000000,0.151493,4.414506
35,8,3,12.395446,4.720189,100.000000,12.773329,0.872267,59.848000,0.000000,0,874.000000,0.127733,3.953289
35,8,4,0.682302,5.513666,100.000000,13.386254,0.866137,59.358554,0.000000,0,0.000000,0.133863,6.030497
35,8,5,8.210467,3.736760,100.000000,18.165173,0.818348,55.546534,1.000000,2,0.000000,0.181652,9.434349
35,8,6,13.737334,10.425626,100.000000,20.414317,0.795857,53.761203,0.000000,0,0.000000,0.204143,6.511675
35,8,7,1.478612,6.876387,100.000000,30.135112,0.698649,46.014224,0.000000,1,1162.000000,0.301351,8.286927
35,8,8,0.000000,4.610531,100.000000,13.633239,0.863668,59.161491,0.000000,2,0.000000,0.136332,9.902659
35,8,9,0.000000,6.968674,100.000000,16.459196,0.835408,56.906344,0.000000,1,263.000000,0.164592,1.194532
35,8,10,5.449064,5.532678,100.000000,13.386254,0.866137,59.358554,0.000000,0,0.000000,0.133863,3.679274
35,9,1,1.965426,0.000000,100.000000,23.273135,0.767269,51.473404,0.000000,0,0.000000,0.232731,1.760948
35,9,2,11.359311,0.000000,100.000000,14.324107,0.856759,58.610388,1.000000,2,0.000000,0.143241,4.414506
35,9,3,17.206362,6.254400,100.000000,13.163192,0.868368,59.537089,0.000000,0,424.000000,0.131632,3.953289
35,9,4,0.079687,6.120820,100.000000,11.981929,0.880181,60.479558,0.000000,0,1055.000000,0.119819,6.030497
35,9,5,8.046859,5.440569,100.000000,17.404654,0.825953,56.153311,1.000000,0,0.000000,0.174047,9.434349
35,9,6,9.871555,13.001143,100.000000,20.343305,0.796567,53.819197,0.000000,0,0.000000,0.203433,6.511675
35,9,7,5.531863,5.426622,100.000000,30.713119,0.692869,45.555305,0.000000,3,1029.000000,0.307131,8.286927
35,9,8,2.799293,6.056351,100.000000,13.562173,0.864378,59.218525,1.000000,1,0.000000,0.135622,9.902659
35,9,9,0.000000,4.532292,100.000000,15.635153,0.843648,57.563931,1.000000,1,870.000000,0.156352,1.194532
35,9,10,4.659741,7.404046,100.000000,11.981929,0.880181,60.479558,0.000000,0,0.000000,0.119819,3.679274
35,10,1,6.150969,0.460879,100.000000,22.457776,0.775422,52.123044,0.000000,0,0.000000,0.224578,1.760948
35,10,2,13.385618,0.000000,100.000000,13.923128,0.860769,58.930617,0.000000,0,0.000000,0.139231,4.414506
35,10,3,14.801416,7.638698,100.000000,13.119553,0.868804,59.572451,0.000000,0,0.000000,0.131196,3.953289
35,10,4,1.964830,7.636423,100.000000,12.946155,0.870538,59.709844,0.000000,0,0.000000,0.129462,6.030497
35,10,5,6.770568,6.223094,100.000000,17.780687,0.822193,55.852876,0.000000,2,3717.000000,0.177807,9.434349
35,10,6,9.991123,11.502108,100.000000,20.185953,0.798140,53.947737,0.000000,0,0.000000,0.201860,6.511675
35,10,7,7.401367,5.765107,100.000000,31.849597,0.681504,44.653576,0.000000,2,0.000000,0.318496,8.286927
35,10,8,4.896732,3.947838,100.000000,13.422756,0.865772,59.330327,0.000000,1,911.000000,0.134228,9.902659
35,10,9,0.000000,6.706160,100.000000,16.189183,0.838108,57.121755,0.000000,1,0.000000,0.161892,1.194532
35,10,10,0.327955,7.160487,100.000000,12.946155,0.870538,59.709844,0.000000,0,1314.000000,0.129462,3.679274
35,11,1,5.226602,0.073465,100.000000,20.718276,0.792817,53.509473,0.000000,0,0.000000,0.207183,1.760948
